,Instructor,Course,Term,Enroll,Evals,Rcmnd_Class,Rcmnd_Instructor,Study_Hrs_Per_Wk,Grade_Expected,Grade,Link
140,"Sinha, Sunil K",PHYS 100C - Electromagnetism III A,SP14,22,12,63.6,72.7,8.7,3.6,3.29,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803641
141,"Kleinfeld, David",PHYS 120A - Physical Measurements A,SP14,53,43,83.7,88.4,9.85,3.43,3.31,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803644
142,"Surko, Clifford M",PHYS 130A - Quantum Physics I A,SP14,46,23,85.7,81.0,8.6,3.22,2.73,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803646
143,"Maple, M. Brian",PHYS 133 - Condensed Matter/MATL Sci. Lab A,SP14,14,2,100.0,100.0,11.5,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803648
144,"Kuti, Julius",PHYS 142 - Comp Phys II:PDE & Matrix Modl A,SP14,5,2,100.0,100.0,8.5,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803649
145,"Dubin, Daniel Herschel",PHYS 151 - Elementary Plasma Physics A,SP14,11,4,100.0,100.0,3.83,3.67,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803651
146,"Jenkins, Elizabeth",PHYS 154 - Elementary Particle Physics A,SP14,9,4,100.0,75.0,7.5,3.25,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803652
147,"Griest, Kim",PHYS 161 - Black Holes A,SP14,21,6,100.0,100.0,6.9,3.6,3.1,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803653
148,"Keating, Brian",PHYS 162 - Cosmology A,SP14,30,6,100.0,100.0,5.17,3.33,3.41,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803655
149,"Tsai, Philbert S",PHYS 173 - Modern Physics Lab:Bio&Quantum A,SP14,12,9,100.0,100.0,6.5,3.78,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803658
150,"Jun, Suckjoon",PHYS 177 - Physics of the Cell A,SP14,2,1,100.0,100.0,8.5,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803659
151,"Paar, Hans Peter",PHYS 192 - Senior Seminar in Physics A,SP14,5,1,100.0,100.0,2.5,,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803660
152,"Sutterley, Christel Johanna",PHYS 1A - Mechanics A,SP14,323,125,88.6,95.1,5.28,3.26,2.83,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803551
153,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory 0,SP14,331,116,76.1,80.5,4.29,3.28,3.28,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803552
154,"Anderson, Michael G.",PHYS 1B - Electricity and Magnetism A,SP14,290,104,63.7,40.2,7.73,3.0,2.86,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803563
155,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab 0,SP14,287,79,89.0,71.2,4.19,3.61,3.37,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803567
156,"Coil, Alison","PHYS 1C - Waves, Optics & Modern Physics A",SP14,305,90,72.9,74.1,4.88,3.56,3.13,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803564
157,"Wuerthwein, Frank","PHYS 1C - Waves, Optics & Modern Physics B",SP14,339,91,82.8,79.3,4.96,3.3,2.98,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803565
158,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab 0",SP14,622,156,74.3,83.3,3.81,3.66,3.42,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803574
159,"Dudko, Olga",PHYS 2A - Physics-Mechanics A,SP14,302,112,89.9,91.7,6.9,3.07,2.68,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803591
160,"Dudko, Olga",PHYS 2A - Physics-Mechanics B,SP14,253,79,88.6,96.2,6.02,3.25,2.68,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803593
161,"Shpyrko, Oleg",PHYS 2B - Phys-Electricity and Magnetism A,SP14,285,93,84.3,88.8,5.89,3.11,2.65,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803595
162,"Shpyrko, Oleg",PHYS 2B - Phys-Electricity and Magnetism B,SP14,347,114,81.3,90.2,6.5,3.21,2.65,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803597
163,"Shpyrko, Oleg",PHYS 2B - Phys-Electricity and Magnetism C,SP14,323,110,90.6,95.3,5.99,3.29,2.65,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803599
164,"Yagil, Avi",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,SP14,270,82,52.6,48.7,5.34,3.16,2.73,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803602
165,"Jun, Suckjoon","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics A",SP14,289,88,66.7,34.5,5.88,2.84,2.48,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803613
166,"Sharpee, Tatyana","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",SP14,190,60,56.9,50.0,8.0,3.18,3.01,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803616
167,"Branson, James G",PHYS 2D - Phys-Relativity&Quantm Physics A,SP14,171,37,73.0,64.9,5.72,3.38,3.17,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803628
168,"Butov, Leonid",PHYS 2DL - Physics Lab-Modern Physics A,SP14,41,14,78.6,92.9,4.5,3.23,3.02,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803631
169,"Armantrout, Rae",No CAPEs submitted,SP14,3,0,,,,,,
170,"Keating, Brian",No CAPEs submitted,SP14,3,0,,,,,,
171,"Hirsch, Jorge Eduardo","PHYS 4B - Phys Majrs-Mech,Fluid,Wav,Heat A",SP14,62,27,88.0,32.0,7.5,3.0,2.68,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803634
172,"Manohar, Aneesh Vasant",PHYS 4E - Physics Majors-Quantum Physics A,SP14,28,8,100.0,100.0,7.25,3.38,3.31,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803636
173,"Fuller, George Michael",PHYS 87 - Freshman Seminar A,SP14,18,7,100.0,100.0,0.5,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803640
174,"Burgasser, Adam Jonathan",PHYS 87 - Freshman Seminar B,SP14,5,2,100.0,100.0,0.5,,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=809920
175,"Tytler, David Robert",PHYS 9 - The Solar System A,SP14,33,14,64.3,57.1,4.93,3.22,3.25,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=803638
176,"Tytler, David Robert",PHYS 10 - Concepts In Physics A,WI14,177,74,52.1,57.5,4.42,3.23,3.23,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=794017
177,"Surko, Clifford M",PHYS 100B - Electromagnetism II A,WI14,44,18,94.1,76.5,5.83,3.07,2.9,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=794021
178,"Dubin, Daniel Herschel",PHYS 105B - Mathematical&Computatnl Phy II A,WI14,19,10,100.0,100.0,15.83,3.5,3.11,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=794022
179,"Branson, James G",PHYS 110B - Mechanics II A,WI14,28,11,100.0,54.5,6.5,3.3,3.07,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=794024
180,"Salmon, Richard L.",PHYS 111 - Introduction to Ocean Waves A,WI14,3,1,100.0,100.0,2.5,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=797844
181,"Murphy, Thomas",PHYS 120B - Physical Measurements A,WI14,16,11,100.0,100.0,8.5,3.55,3.58,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=794027
182,"Burgasser, Adam Jonathan",PHYS 13 - Life in the Universe A,WI14,14,8,87.5,100.0,4.75,3.43,3.16,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=794019
183,"McGreevy, John A.",PHYS 130C - Quantum Physics III A,WI14,22,9,100.0,100.0,8.5,3.22,3.33,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=794029
184,"Fogler, Michael M.",PHYS 140B - Statistical & Thermal Phys II A,WI14,13,6,100.0,100.0,13.5,3.33,2.54,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=794031
185,"Kuti, Julius",PHYS 141 - Comp Phys I:Prob Models & Simu A,WI14,9,3,66.7,100.0,7.83,3.33,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=794033
186,"Butov, Leonid",PHYS 152A - Condensed Matter Physics A,WI14,10,8,100.0,100.0,8.17,4.0,3.8,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=794035
187,"Keres, Dusan",PHYS 163 - Galaxies and Quasars A,WI14,21,7,100.0,100.0,8.5,3.57,2.64,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=801350
188,"Melis, Carl Anthony",PHYS 164 - Observational Astrophysics Lab A,WI14,11,4,100.0,100.0,10.5,3.25,3.55,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=801452
189,"Kleinfeld, David",PHYS 178 - Biophysics/Neurons & Networks A,WI14,18,6,100.0,100.0,7.7,3.4,3.21,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=794038
190,"Anderson, Michael G.",PHYS 1A - Mechanics A,WI14,312,123,87.0,81.7,6.36,3.21,2.89,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=793928
191,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory 0,WI14,313,111,76.7,79.6,4.4,3.36,3.32,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=793929
192,"Groisman, Alexander",PHYS 1B - Electricity and Magnetism A,WI14,358,126,74.0,54.5,5.42,3.18,2.84,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=793938
193,"Groisman, Alexander",PHYS 1B - Electricity and Magnetism B,WI14,138,56,75.0,58.9,5.24,3.25,2.84,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=793939
194,"Kishimoto, Chad T.",PHYS 1B - Electricity and Magnetism C,WI14,207,81,93.8,97.5,6.92,3.49,3.25,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=793940
195,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab 0,WI14,685,234,80.2,84.1,3.43,3.52,3.39,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=793941
196,"Anderson, Michael G.","PHYS 1C - Waves, Optics & Modern Physics A",WI14,182,55,65.4,65.4,6.54,3.26,2.94,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=793965
197,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab 0",WI14,178,53,52.9,66.7,4.26,3.47,3.32,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=793966
198,"Sharma, Vivek A.",PHYS 2A - Physics-Mechanics A,WI14,349,296,86.3,81.6,6.46,3.21,2.89,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=793973
199,"Sharma, Vivek A.",PHYS 2A - Physics-Mechanics B,WI14,343,297,85.2,81.1,6.25,3.07,2.89,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=793975
200,"Sharma, Vivek A.",PHYS 2A - Physics-Mechanics C,WI14,338,280,86.6,81.2,6.17,3.18,2.89,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=793977
201,"Michelsen, Eric Leonard",PHYS 2B - Phys-Electricity and Magnetism A,WI14,338,142,83.7,80.7,6.07,3.14,2.8,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=793979
202,"Yagil, Avi",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,WI14,118,51,66.0,66.0,5.32,3.39,3.02,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=793982
203,"Di Ventra, Massimiliano","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics A",WI14,288,92,86.5,86.5,5.21,3.35,3.2,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=793994
204,"Maple, M. Brian","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",WI14,252,90,31.6,60.8,9.01,3.04,3.0,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=793997
205,"Branson, James G",PHYS 2D - Phys-Relativity&Quantm Physics A,WI14,174,62,78.3,51.7,6.78,3.28,3.41,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=794009
206,"Griest, Kim",PHYS 4A - Physics/Physics Majrs-Mechancs A,WI14,80,39,100.0,94.9,5.97,3.5,2.83,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=794011
207,"Manohar, Aneesh Vasant","PHYS 4D - Phys Majrs-EM Wav,Opt,Spec Rel A",WI14,28,11,100.0,100.0,7.9,3.5,3.32,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=794013
208,"Coil, Alison",PHYS 5 - Stars and Black Holes A,WI14,39,15,93.3,100.0,4.23,3.92,3.12,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=794015
209,"Fuller, George Michael",PHYS 87 - Freshman Seminar A,WI14,18,12,100.0,100.0,0.5,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=790879
210,"Surko, Clifford M",PHYS 100A - Electromagnetism I A,FA13,54,16,78.6,71.4,7.88,3.08,2.62,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=785041
211,"Dubin, Daniel Herschel",PHYS 105A - Mathematical&Computatnl Phy I A,FA13,49,14,71.4,50.0,14.81,3.08,2.71,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=785042
212,"Tytler, David Robert",PHYS 11 - Survey of Physics A,FA13,157,52,42.3,44.2,3.98,3.34,3.22,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=785038
213,"Michelsen, Eric Leonard",PHYS 110A - Mechanics I A,FA13,49,14,92.9,92.9,8.81,3.08,2.42,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=785046
214,"Smith, Douglas E",PHYS 121 - Experimental Techniques A,FA13,13,5,100.0,100.0,6.1,3.8,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=788492
215,"Keating, Brian",PHYS 130B - Quantum Physics II A,FA13,42,19,100.0,89.5,7.45,3.32,3.16,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=785051
216,"Fogler, Michael M.",PHYS 140A - Statistical & Thermal Phys I A,FA13,56,24,75.0,95.8,9.67,2.92,2.75,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=785054
217,"Burgasser, Adam Jonathan",PHYS 160 - Stellar Astrophysics A,FA13,16,14,100.0,100.0,9.79,3.15,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=785056
218,"Dudko, Olga",PHYS 175 - Fundamentls/Biological Physics A,FA13,16,6,80.0,80.0,4.9,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=788489
219,"Murphy, Thomas",PHYS 191 - Undergraduate Seminar/Physics A,FA13,27,10,90.0,90.0,0.5,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=785058
220,"Kritsuk, Alexei",PHYS 1A - Mechanics A,FA13,166,133,67.7,33.1,6.42,2.98,3.17,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=784949
221,"Kishimoto, Chad T.",PHYS 1A - Mechanics B,FA13,276,128,87.0,91.9,6.77,3.27,3.05,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=784950
222,"Paddock, Mark",PHYS 1A - Mechanics C,FA13,343,239,78.2,85.9,6.53,3.04,3.1,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=784951
223,"Groisman, Alexander",PHYS 1AL - Mechanics Laboratory A,FA13,803,365,74.8,70.5,4.08,3.31,3.27,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=784952
224,"Anderson, Michael G.",PHYS 1B - Electricity and Magnetism A,FA13,182,67,77.8,76.2,6.75,3.31,2.86,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=784985
225,"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab A,FA13,22,9,66.7,66.7,5.83,3.67,3.27,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=784986
226,"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab C,FA13,24,4,100.0,100.0,2.5,3.75,3.27,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=784988
227,"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab D,FA13,25,7,71.4,71.4,3.93,3.57,3.27,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=784989
228,"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab E,FA13,25,8,57.1,57.1,4.79,3.0,3.27,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=784990
229,"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab F,FA13,24,12,58.3,75.0,3.95,3.73,3.27,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=784991
230,"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab G,FA13,25,6,100.0,100.0,2.9,3.0,3.27,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=784992
231,"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab H,FA13,25,6,66.7,66.7,3.17,3.67,3.27,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=784993
232,"Branson, James G","PHYS 1C - Waves, Optics & Modern Physics A",FA13,92,23,69.6,39.1,5.98,3.09,3.01,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=784994
233,"Groisman, Alexander","PHYS 1CL - Waves,Optics&Modrn Phys Lab A",FA13,94,18,82.4,94.1,4.03,3.24,3.25,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=784997
234,"Paar, Hans Peter",PHYS 2A - Physics-Mechanics A,FA13,334,162,84.3,56.6,7.86,3.12,2.75,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=785006
235,"Rappel, Wouter Jan",PHYS 2B - Phys-Electricity and Magnetism A,FA13,347,129,90.5,88.9,6.14,3.18,2.57,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=785008
236,"Yagil, Avi",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,FA13,148,47,53.2,70.2,6.46,3.02,2.9,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=785011
237,"Intriligator, Kenneth Arthur","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics A",FA13,188,63,85.0,63.3,5.26,3.37,3.02,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=785018
238,"Intriligator, Kenneth Arthur","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics B",FA13,347,138,87.4,66.9,5.72,3.2,3.02,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=785020
239,"Anderson, Michael G.","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",FA13,261,88,52.3,75.0,8.66,3.27,2.99,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=785023
240,"Manohar, Aneesh Vasant",PHYS 4C - Phys Majrs-Elect & Magnetism A,FA13,27,12,72.7,63.6,9.77,2.8,3.12,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=785034
241,"Keres, Dusan",PHYS 7 - Galaxies and Cosmology A,FA13,46,19,100.0,94.7,4.08,3.59,3.01,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=788494
242,"Murphy, Christopher W",PHYS 1A - Mechanics A,S213,39,8,62.5,25.0,7.25,2.63,3.1,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=780402
243,"Schanning, Ian Lennon",PHYS 1AL - Mechanics Laboratory 0,S213,41,6,100.0,100.0,7.0,3.75,3.34,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=780403
244,"Shotwell, Brian",PHYS 1B - Electricity and Magnetism A,S213,51,9,44.4,55.6,9.39,3.33,2.89,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=780406
245,"Schanning, Ian Lennon",PHYS 1BL - Electricity & Magnetism Lab 0,S213,47,9,66.7,77.8,6.06,3.67,3.24,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=780407
246,"Anderson, Michael G.","PHYS 1C - Waves, Optics & Modern Physics A",S213,57,9,88.9,100.0,6.5,2.89,2.92,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=780409
247,"Schanning, Ian Lennon","PHYS 1CL - Waves,Optics&Modrn Phys Lab 0",S213,59,10,80.0,100.0,4.3,3.6,3.29,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=780410
248,"Palmer, Christopher A",PHYS 2B - Phys-Electricity and Magnetism A,S213,71,26,87.5,79.2,9.58,3.21,2.8,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=780413
249,"Shotwell, Brian","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics A",S213,87,19,72.2,83.3,7.44,3.39,2.81,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=780415
250,"Anderson, Michael G.","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",S213,118,29,39.3,78.6,11.07,3.21,3.02,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=780418
251,"Stone, David Curtis",PHYS 2D - Phys-Relativity&Quantm Physics A,S213,141,41,82.9,95.1,8.45,3.02,2.85,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=780421
252,"Conger, Casey J",PHYS 1A - Mechanics A,S113,77,10,88.9,100.0,8.72,3.0,2.95,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=779675
253,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory 0,S113,73,6,83.3,83.3,6.5,3.5,3.44,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=779676
254,"Palmer, Christopher A",PHYS 1B - Electricity and Magnetism A,S113,57,12,66.7,66.7,9.0,3.27,2.72,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=779680
255,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab 0,S113,49,13,72.7,90.9,4.86,3.64,3.33,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=779681
256,"Agarwal, Prarit","PHYS 1C - Waves, Optics & Modern Physics A",S113,43,9,77.8,55.6,5.83,3.67,3.13,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=779684
257,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab 0",S113,36,8,100.0,100.0,5.64,3.5,3.4,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=779685
258,"Grohs, Evan B",PHYS 2A - Physics-Mechanics A,S113,81,15,80.0,73.3,13.57,2.73,2.79,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=779688
259,"Stergiou, Andreas",PHYS 2B - Phys-Electricity and Magnetism A,S113,93,19,87.5,87.5,8.5,3.31,2.59,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=779690
260,"Lee, Christopher Jaesung",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,S113,44,9,55.6,88.9,6.94,3.44,2.95,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=779693
261,"Stanley, Jacob T","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics A",S113,85,24,82.6,91.3,9.32,3.1,2.89,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=779696
262,"Shpyrko, Oleg",PHYS 100C - Electromagnetism A,SP13,31,10,88.9,88.9,6.28,3.89,3.54,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772380
263,"Murphy, Thomas",PHYS 12 - Energy and the Environment A,SP13,44,22,68.2,86.4,3.77,3.44,3.15,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772378
264,"Kleinfeld, David",PHYS 120A - Physical Measurements A,SP13,44,16,50.0,12.5,12.9,3.53,3.33,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772383
265,"Anderson, Michael G.",PHYS 130A - Quantum Physics I A,SP13,56,22,95.5,59.1,9.14,3.43,2.89,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772386
266,"Maple, M. Brian",PHYS 133 - Condensed Matter/Material Sci A,SP13,14,4,75.0,100.0,6.0,3.25,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772388
267,"Intriligator, Kenneth Arthur",PHYS 137 - String Theory A,SP13,9,5,100.0,100.0,6.0,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772389
268,"Kuti, Julius",PHYS 142 - Comp Phys II:PDE & Matrix Modl A,SP13,5,3,100.0,100.0,6.5,3.67,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772390
269,"Dubin, Daniel Herschel",PHYS 151 - Elementary Plasma Physics A,SP13,6,3,100.0,100.0,10.5,3.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772392
270,"Branson, James G",PHYS 154 - Elementary Particle Physics A,SP13,10,4,75.0,100.0,10.5,3.33,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772393
271,"Keating, Brian",PHYS 162 - Galaxies and Cosmology A,SP13,18,13,84.6,61.5,4.67,3.08,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772394
272,"Tsai, Philbert S",PHYS 173 - Modern Physics Lab:Bio&Quantum A,SP13,8,14,100.0,100.0,3.88,3.58,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772397
273,"Jun, Suckjoon",PHYS 177 - Physics of the Cell A,SP13,1,1,0.0,0.0,0.0,,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=778576
274,"Kritsuk, Alexei",PHYS 1A - Mechanics A,SP13,254,79,66.7,44.9,5.89,2.99,2.97,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772273
275,"Yagil, Avi",PHYS 1AL - Mechanics Laboratory A,SP13,261,75,74.3,68.9,3.81,3.55,3.39,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772274
276,"Sinha, Sunil K",PHYS 1B - Electricity and Magnetism A,SP13,138,44,58.1,74.4,5.9,3.26,2.9,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772285
277,"Yagil, Avi",PHYS 1BL - Electricity & Magnetism Lab A,SP13,126,38,78.9,89.5,3.89,3.53,3.34,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772286
278,"Kishimoto, Chad T.","PHYS 1C - Waves, Optics & Modern Physics A",SP13,192,101,75.2,64.4,5.82,3.24,3.1,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772296
279,"Kishimoto, Chad T.","PHYS 1C - Waves, Optics & Modern Physics B",SP13,78,40,77.5,72.5,6.15,3.13,3.1,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772297
280,"Paddock, Mark","PHYS 1C - Waves, Optics & Modern Physics C",SP13,189,125,85.4,97.6,4.78,3.52,3.18,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=772298
