,Instructor,Course,Term,Enroll,Evals,Rcmnd_Class,Rcmnd_Instructor,Study_Hrs_Per_Wk,Grade_Expected,Grade,Link
857,"Shpyrko, Oleg","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",SP09,174,42,73.8,100.0,4.26,3.65,3.35,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653696
858,"Sinha, Sunil K",PHYS 2D  - Phys-Relativity&Quantm Physics A,SP09,138,62,60.0,85.0,5.58,3.4,2.82,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653709
859,"Butov, Leonid",PHYS 2DL - Physics Lab-Modern Physics     A,SP09,43,9,100.0,100.0,5.17,3.75,3.21,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653711
860,"Fogler, Michael M.","PHYS 4B  - Phys Majrs-Mech,Fluid,Wav,Heat A",SP09,37,15,86.7,80.0,4.5,3.53,2.81,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653715
861,"Hirsch, Jorge Eduardo",PHYS 4E  - Physics Majors-Quantum Physics A,SP09,20,15,73.3,73.3,5.43,3.07,2.44,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653717
862,"Coil, Alison",PHYS 5 - The Universe                   A,SP09,75,49,91.7,95.8,4.58,3.36,3.05,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653719
863,"Anderson, Michael G.",PHYS 10 - Concepts In Physics            A,WI09,129,70,92.9,92.9,2.64,3.47,3.24,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642701
864,"Surko, Clifford M",PHYS 100B  - Electromagnetism               A,WI09,38,26,100.0,96.0,6.19,3.48,2.9,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642704
865,"Padoan, Paolo",PHYS 105B  - Mathematical&Computational Phy A,WI09,15,4,75.0,100.0,11.0,3.25,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642706
866,"Branson, James G",PHYS 110B  - Mechanics                      A,WI09,34,23,90.9,85.0,6.59,3.15,3.04,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642708
867,"Murphy, Thomas",PHYS 121 - Experimental Techniques        A,WI09,15,11,100.0,100.0,5.41,3.6,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642712
868,"Sham, Lu Jeu",PHYS 130C  - Quantum Physics                A,WI09,12,10,90.0,80.0,7.3,3.22,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642714
869,"Arovas, Daniel P",PHYS 140B  - Statistical & Thermal Physics  A,WI09,19,14,92.9,92.9,7.64,3.29,3.38,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642716
870,"Butov, Leonid",PHYS 152A  - Condensed Matter Physics       A,WI09,18,17,94.1,88.2,5.91,3.71,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642720
871,"Wolfe, Arthur Michael",PHYS 161 - Black Holes & Milky Way Galaxy A,WI09,26,15,93.3,66.7,4.9,3.5,2.95,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=642722
872,"Diamond, Patrick H",PHYS 192 - Senior Seminar in Physics      A,WI09,7,6,100.0,100.0,0.5,,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=646846
